country,region,year,"Children out of school, primary","Children out of school, primary, female","Children out of school, primary, male",Primary school completion (% of girls),"Primary completion rate, male (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Expenditure per student, primary (% of GDP per capita)","Expenditure per student, secondary (% of GDP per capita)","Expenditure per student, tertiary (% of GDP per capita)",Youth (15-24) literacy rate (%). Female,Youth (15-24) literacy rate (%). Male,Youth (15-24) literacy rate (%). Total,Adult (15+) literacy rate (%). Male,Adult (15+) literacy rate (%). Total,Ratio of girls to boys in primary and secondary education (%),Education aid (% of total aid),Ratio of young literate females to males (% ages 15-24),Mean years in school (men 25 years old and older),Mean year in School (between 28 and 34 years old ),"Mean years in school (Women of reproductive age, from 15 to 44 years old)",Mean years in school (women 25 and older),Mean years in school (between 25 and 34 years old),Mean years in school ( women aged 25 to 34 as % men of same age)
Guinea,Western Africa,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,Western Africa,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,Western Africa,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,Western Africa,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.2,0.3,0.1,0.3,27.2727272727273
Guinea,Western Africa,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.558,NA,NA,0.6,1.3,0.3,0.1,0.3,25
Guinea,Western Africa,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.4,0.3,0.1,0.3,25
Guinea,Western Africa,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.4,0.3,0.1,0.3,23.0769230769231
Guinea,Western Africa,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.5,0.4,0.2,0.4,28.5714285714286
Guinea,Western Africa,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.6,0.4,0.2,0.4,26.6666666666667
Guinea,Western Africa,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.7,0.4,0.2,0.4,26.6666666666667
Guinea,Western Africa,1977,NA,NA,NA,NA,NA,19.5423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1.8,0.4,0.2,0.4,25
Guinea,Western Africa,1978,NA,NA,NA,NA,NA,21.43636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1.8,0.5,0.2,0.5,29.4117647058824
Guinea,Western Africa,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1.9,0.5,0.2,0.5,27.7777777777778
Guinea,Western Africa,1980,NA,NA,NA,NA,NA,23.55125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0.5,0.2,0.5,26.3157894736842
Guinea,Western Africa,1981,NA,NA,NA,NA,NA,19.48413,NA,NA,NA,NA,NA,NA,NA,NA,48.987,NA,NA,1.1,2.1,0.6,0.2,0.6,30
Guinea,Western Africa,1982,NA,NA,NA,NA,NA,21.21086,NA,NA,NA,NA,NA,NA,NA,NA,48.454,NA,NA,1.1,2.2,0.6,0.2,0.6,28.5714285714286
Guinea,Western Africa,1983,NA,NA,NA,NA,NA,20.86616,NA,NA,NA,NA,NA,NA,NA,NA,47.308,NA,NA,1.2,2.3,0.6,0.3,0.6,27.2727272727273
Guinea,Western Africa,1984,515719,285587,230132,12.0147,30.35776,21.38187,NA,NA,NA,NA,NA,NA,NA,NA,47.258,NA,NA,1.2,2.5,0.7,0.3,0.7,30.4347826086957
Guinea,Western Africa,1985,507191,288279,218912,10.44593,24.13696,17.43289,NA,NA,NA,NA,NA,NA,NA,NA,45.367,NA,NA,1.3,2.6,0.7,0.3,0.7,29.1666666666667
Guinea,Western Africa,1986,536871,300146,236725,9.93299,23.04396,16.6208,NA,NA,NA,NA,NA,NA,NA,NA,45.467,NA,NA,1.4,2.6,0.8,0.3,0.8,32
Guinea,Western Africa,1987,569340,315132,254208,8.95078,22.71502,15.97142,NA,NA,NA,NA,NA,NA,NA,NA,43.534,NA,NA,1.4,2.7,0.8,0.3,0.8,30.7692307692308
Guinea,Western Africa,1988,578214,321215,256999,6.93048,18.5828,12.87514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2.8,0.8,0.4,0.8,29.6296296296296
Guinea,Western Africa,1989,598834,331580,267254,6.96875,20.57112,13.90941,NA,NA,NA,NA,NA,NA,NA,NA,43.577,NA,NA,1.5,2.9,0.9,0.4,0.9,33.3333333333333
Guinea,Western Africa,1990,630334,346955,283379,9.4921,31.1587,20.55003,NA,NA,NA,NA,NA,NA,NA,NA,43.889,NA,NA,1.6,3,0.9,0.4,0.9,32.1428571428571
Guinea,Western Africa,1991,641200,355260,285940,9.77402,26.42799,18.2745,NA,NA,NA,NA,NA,NA,NA,NA,44.869,NA,NA,1.7,3,0.9,0.4,0.9,31.0344827586207
Guinea,Western Africa,1992,NA,NA,NA,9.57692,25.62895,17.76844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,3.1,1,0.4,1,33.3333333333333
Guinea,Western Africa,1993,NA,NA,NA,10.37166,28.62533,19.68463,NA,NA,NA,NA,NA,NA,NA,NA,45.274,NA,NA,1.8,3.2,1,0.5,1,32.258064516129
Guinea,Western Africa,1994,NA,NA,NA,11.0441,29.26598,20.33907,NA,NA,NA,NA,NA,NA,NA,NA,46.965,NA,NA,1.9,3.3,1.1,0.5,1.1,35.4838709677419
Guinea,Western Africa,1995,NA,NA,NA,10.08008,29.24677,19.85586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3.4,1.1,0.5,1.1,34.375
Guinea,Western Africa,1996,NA,NA,NA,NA,NA,30.13016,NA,NA,NA,13.4728001599711,44.1200499324669,27.7163872166815,32.8953421618034,20.5537486564581,50.599,NA,NA,2,3.4,1.2,0.5,1.1,33.3333333333333
Guinea,Western Africa,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,3.5,1.2,0.6,1.2,35.2941176470588
Guinea,Western Africa,1998,759712,425959,333753,14.2367,35.7631,25.20711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,3.6,1.3,0.6,1.2,35.2941176470588
Guinea,Western Africa,1999,738640,413958,324682,16.9001,40.97687,29.16778,NA,NA,NA,NA,NA,NA,NA,NA,57.973,NA,NA,2.2,3.7,1.3,0.6,1.3,37.1428571428571
Guinea,Western Africa,2e3,703816,391830,311986,20.23739,43.89902,32.29187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3.7,1.4,0.7,1.3,36.1111111111111
Guinea,Western Africa,2001,660232,369263,290969,22.94073,45.77065,34.56951,NA,NA,NA,NA,NA,NA,NA,NA,64.22,NA,NA,2.4,3.8,1.4,0.7,1.3,35.1351351351351
Guinea,Western Africa,2002,561012,324313,236699,27.29027,50.45995,39.08724,NA,NA,NA,NA,NA,NA,NA,NA,66.846,NA,NA,2.5,3.9,1.5,0.7,1.4,37.8378378378378
Guinea,Western Africa,2003,513856,299705,214151,30.34135,48.78229,39.72705,NA,NA,NA,34.0690435766836,59.4623655913978,47.0912599944858,42.9031646768998,29.7040169133192,69.271,NA,57.4492075311505,2.5,3.9,1.5,0.8,1.4,36.8421052631579
Guinea,Western Africa,2004,470758,277258,193500,39.86661,60.78074,50.50822,NA,NA,294.10586,NA,NA,NA,NA,NA,70.288,NA,NA,2.6,4,1.6,0.8,1.4,36.8421052631579
Guinea,Western Africa,2005,440459,259191,181268,46.59527,68.28559,57.62995,NA,NA,214.78895,NA,NA,NA,NA,NA,72.567,NA,NA,2.7,4,1.6,0.8,1.5,38.4615384615385
Guinea,Western Africa,2006,404313,237495,166818,52.85429,72.87478,63.03759,NA,NA,NA,NA,NA,NA,NA,NA,74.398,NA,NA,2.8,4.1,1.7,0.9,1.5,38.4615384615385
Guinea,Western Africa,2007,372376,221312,151064,54.53389,72.61478,63.72694,NA,NA,NA,NA,NA,NA,NA,NA,76.107,NA,NA,2.9,4.1,1.7,0.9,1.6,41.025641025641
Guinea,Western Africa,2008,387465,229683,157782,47.92236,64.324,56.25873,6.9693,6.14444,100.01972,NA,NA,NA,NA,NA,76.89,NA,NA,2.9,4.2,1.8,0.9,1.6,40
Guinea,Western Africa,2009,365285,219829,145456,54.01466,72.66287,63.49096,NA,NA,NA,NA,NA,NA,NA,NA,76.992,NA,79.0955398083882,3,4.2,1.8,1,1.6,40
Guinea,Western Africa,2010,354858,223586,131272,52.96641,74.91081,64.11628,NA,NA,NA,21.7967323738372,37.5671468261517,31.4064168842036,36.7897793641871,25.3077454885807,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,Western Africa,2011,258811,170207,88604,59.43032,74.07916,66.87277,NA,NA,NA,NA,NA,NA,NA,NA,79.378,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,Western Africa,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,Western Africa,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,Western Africa,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,Western Africa,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,Western Africa,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,Western Africa,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,Western Africa,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,Western Africa,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,Western Africa,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,Western Africa,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,Western Africa,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1.2,0.2,0.1,0.3,30
Guinea-Bissau,Western Africa,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.263,NA,NA,0.7,1.2,0.3,0.1,0.3,27.2727272727273
Guinea-Bissau,Western Africa,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.225,NA,NA,0.7,1.3,0.3,0.1,0.3,27.2727272727273
Guinea-Bissau,Western Africa,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1.4,0.3,0.1,0.3,25
Guinea-Bissau,Western Africa,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.4,0.3,0.1,0.3,23.0769230769231
Guinea-Bissau,Western Africa,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.5,0.3,0.2,0.3,23.0769230769231
Guinea-Bissau,Western Africa,1976,NA,NA,NA,NA,NA,7.57595,NA,NA,NA,NA,NA,NA,NA,NA,53.607,NA,NA,0.8,1.6,0.4,0.2,0.4,28.5714285714286
Guinea-Bissau,Western Africa,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1.6,0.4,0.2,0.4,26.6666666666667
Guinea-Bissau,Western Africa,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.553,NA,NA,0.9,1.7,0.4,0.2,0.4,26.6666666666667
Guinea-Bissau,Western Africa,1979,NA,NA,NA,8.88758,29.12837,18.97061,NA,NA,NA,17.8034650489151,59.6943664864125,36.4014161551085,33.3489454204827,19.958248396327,44.024,NA,29.8243638333401,1,1.8,0.4,0.2,0.4,25
Guinea-Bissau,Western Africa,1980,NA,NA,NA,5.26397,24.51833,14.85984,NA,NA,NA,NA,NA,NA,NA,NA,43.843,NA,NA,1,1.9,0.5,0.2,0.5,29.4117647058824
Guinea-Bissau,Western Africa,1981,69070,43309,25761,9.97403,33.35382,21.6299,NA,NA,NA,NA,NA,NA,NA,NA,44.427,NA,NA,1.1,2,0.5,0.2,0.5,27.7777777777778
Guinea-Bissau,Western Africa,1982,74066,48620,25446,9.28396,31.44122,20.33238,NA,NA,NA,NA,NA,NA,NA,NA,43.922,NA,NA,1.1,2,0.5,0.2,0.5,27.7777777777778
Guinea-Bissau,Western Africa,1983,NA,NA,NA,7.12688,20.62948,13.8616,NA,NA,NA,NA,NA,NA,NA,NA,45.683,NA,NA,1.2,2.1,0.6,0.3,0.6,30
Guinea-Bissau,Western Africa,1984,92390,57044,35346,7.3295,16.32691,11.81797,NA,NA,NA,NA,NA,NA,NA,NA,46.599,NA,NA,1.2,2.2,0.6,0.3,0.6,28.5714285714286
Guinea-Bissau,Western Africa,1985,91682,56480,35202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.257,NA,NA,1.3,2.3,0.7,0.3,0.6,27.2727272727273
Guinea-Bissau,Western Africa,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,2.4,0.7,0.3,0.7,31.8181818181818
Guinea-Bissau,Western Africa,1987,90912,53781,37131,4.99698,10.67071,7.82816,NA,NA,NA,NA,NA,NA,NA,NA,52.498,NA,NA,1.4,2.5,0.8,0.3,0.7,30.4347826086957
Guinea-Bissau,Western Africa,1988,87990,52308,35682,3.75309,7.59555,5.67109,NA,NA,NA,NA,NA,NA,NA,NA,52.646,NA,NA,1.4,2.6,0.8,0.3,0.8,33.3333333333333
Guinea-Bissau,Western Africa,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,NA,NA,1.5,2.7,0.8,0.4,0.8,32
Guinea-Bissau,Western Africa,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.8,0.9,0.4,0.9,34.6153846153846
Guinea-Bissau,Western Africa,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.8,0.9,0.4,0.9,33.3333333333333
Guinea-Bissau,Western Africa,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2.9,1,0.4,1,35.7142857142857
Guinea-Bissau,Western Africa,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,3,1.1,0.5,1,34.4827586206897
Guinea-Bissau,Western Africa,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,3.1,1.1,0.5,1.1,36.6666666666667
Guinea-Bissau,Western Africa,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3.2,1.2,0.5,1.1,35.4838709677419
Guinea-Bissau,Western Africa,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.3,1.2,0.6,1.2,37.5
Guinea-Bissau,Western Africa,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.4,1.3,0.6,1.3,40.625
Guinea-Bissau,Western Africa,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,3.5,1.4,0.6,1.3,39.3939393939394
Guinea-Bissau,Western Africa,1999,92755,54288,38467,20.97782,37.26029,29.11514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,3.6,1.4,0.7,1.4,41.1764705882353
Guinea-Bissau,Western Africa,2e3,93057,54681,38376,21.42857,38.05087,29.7369,NA,NA,NA,45.903651426818,74.8012443829934,59.4928478543563,57.6137538779731,41.3577675968347,65.394,NA,61.3674970322239,2.3,3.6,1.5,0.7,1.5,42.8571428571429
Guinea-Bissau,Western Africa,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,3.7,1.6,0.7,1.5,41.6666666666667
Guinea-Bissau,Western Africa,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,3.8,1.6,0.8,1.6,43.2432432432432
Guinea-Bissau,Western Africa,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3.9,1.7,0.8,1.7,44.7368421052632
Guinea-Bissau,Western Africa,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,4,1.8,0.9,1.8,47.3684210526316
Guinea-Bissau,Western Africa,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,4.1,1.8,0.9,1.8,46.1538461538462
Guinea-Bissau,Western Africa,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,4.1,1.9,1,1.9,47.5
Guinea-Bissau,Western Africa,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,4.2,2,1,2,50
Guinea-Bissau,Western Africa,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.3,2.1,1.1,2.1,51.219512195122
Guinea-Bissau,Western Africa,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.2516117203988,3.1,4.4,2.1,1.1,2.1,50
Guinea-Bissau,Western Africa,2010,56640,30200,26440,59.96169,75.27148,67.62197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea-Bissau,Western Africa,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.08296,79.27426,73.16962,68.92045,55.27518,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,Eastern Africa,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,Eastern Africa,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,Eastern Africa,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,Eastern Africa,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,Eastern Africa,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,Eastern Africa,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,Eastern Africa,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,Eastern Africa,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,Eastern Africa,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,Eastern Africa,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,Eastern Africa,1970,NA,NA,NA,37.40088,59.5825,48.44059,NA,NA,NA,NA,NA,NA,NA,NA,67.046,NA,NA,2.5,4.2,1.8,0.8,1.7,42.5
Kenya,Eastern Africa,1971,NA,NA,NA,40.17452,61.30816,50.68633,NA,NA,NA,NA,NA,NA,NA,NA,69.245,NA,NA,2.6,4.4,1.9,0.8,1.8,42.8571428571429
Kenya,Eastern Africa,1972,NA,NA,NA,43.51009,64.46349,53.93032,NA,NA,NA,NA,NA,NA,NA,NA,71.119,NA,NA,2.7,4.6,2,0.9,1.9,44.1860465116279
Kenya,Eastern Africa,1973,NA,NA,NA,46.20375,65.15353,55.62787,NA,NA,NA,NA,NA,NA,NA,NA,73.311,NA,NA,2.8,4.8,2.2,0.9,2.1,46.6666666666667
Kenya,Eastern Africa,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.177,NA,NA,2.9,4.9,2.3,1,2.2,46.8085106382979
Kenya,Eastern Africa,1975,NA,NA,NA,NA,NA,60.64403,NA,NA,NA,NA,NA,NA,NA,NA,81.096,NA,NA,3,5.1,2.4,1.1,2.4,48.9795918367347
Kenya,Eastern Africa,1976,NA,NA,NA,NA,NA,62.82591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,5.3,2.6,1.1,2.5,49.0196078431373
Kenya,Eastern Africa,1977,NA,NA,NA,59.82504,74.73005,67.25005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,5.5,2.7,1.2,2.7,51.9230769230769
Kenya,Eastern Africa,1978,NA,NA,NA,62.07114,75.02698,68.52984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,5.7,2.9,1.3,2.8,51.8518518518518
Kenya,Eastern Africa,1979,NA,NA,NA,NA,NA,89.45861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,5.8,3,1.4,3,53.5714285714286
Kenya,Eastern Africa,1980,NA,NA,NA,81.25257,90.86706,86.05136,NA,NA,NA,NA,NA,NA,NA,NA,87.5,NA,NA,3.7,6,3.2,1.5,3.2,55.1724137931034
Kenya,Eastern Africa,1981,NA,NA,NA,80.88947,88.19201,84.53571,NA,NA,NA,NA,NA,NA,NA,NA,88.746,NA,NA,3.8,6.2,3.4,1.6,3.4,56.6666666666667
Kenya,Eastern Africa,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.222,NA,NA,3.9,6.4,3.6,1.7,3.6,59.016393442623
Kenya,Eastern Africa,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.175,NA,NA,4.1,6.5,3.8,1.8,3.8,60.3174603174603
Kenya,Eastern Africa,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.297,NA,NA,4.2,6.7,3.9,1.9,4,61.5384615384615
Kenya,Eastern Africa,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.822,NA,NA,4.3,6.8,4.1,2,4.2,62.6865671641791
Kenya,Eastern Africa,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.527,NA,NA,4.5,7,4.3,2.1,4.4,64.7058823529412
Kenya,Eastern Africa,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.74,NA,NA,4.6,7.1,4.5,2.2,4.6,66.6666666666667
Kenya,Eastern Africa,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.691,NA,NA,4.7,7.2,4.6,2.4,4.8,67.6056338028169
Kenya,Eastern Africa,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,7.3,4.8,2.5,5,69.4444444444444
Kenya,Eastern Africa,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.5,5,2.6,5.2,71.2328767123288
Kenya,Eastern Africa,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,7.6,5.2,2.8,5.5,74.3243243243243
Kenya,Eastern Africa,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,7.7,5.4,2.9,5.7,75
Kenya,Eastern Africa,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,7.8,5.6,3.1,5.9,76.6233766233766
Kenya,Eastern Africa,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,7.9,5.7,3.2,6.1,78.2051282051282
Kenya,Eastern Africa,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,8.1,5.9,3.4,6.3,79.746835443038
Kenya,Eastern Africa,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,8.2,6.1,3.5,6.5,81.25
Kenya,Eastern Africa,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8.3,6.3,3.7,6.7,81.7073170731707
Kenya,Eastern Africa,1998,2241105,1101978,1139127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,8.4,6.5,3.8,7,84.3373493975904
Kenya,Eastern Africa,1999,1980499,971975,1008524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.714,NA,NA,6.2,8.5,6.7,4,7.2,85.7142857142857
Kenya,Eastern Africa,2e3,1814188,874600,939588,NA,NA,NA,21.36642,14.37168,207.88399,91.9425511197663,93.3095160766483,92.5281758731042,87.4946649594537,82.2290753144124,97.602,NA,101.124865922157,6.4,8.6,6.9,4.2,7.4,87.0588235294118
Kenya,Eastern Africa,2001,NA,NA,NA,NA,NA,NA,NA,NA,225.02829,NA,NA,NA,NA,NA,NA,NA,NA,6.5,8.8,7.1,4.4,7.6,88.3720930232558
Kenya,Eastern Africa,2002,2017389,992114,1025275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.123,NA,NA,6.7,8.9,7.3,4.5,7.8,89.6551724137931
Kenya,Eastern Africa,2003,1368236,676759,691477,NA,NA,NA,23.16481,20.29172,NA,NA,NA,NA,NA,NA,97.159,NA,NA,6.8,9,7.4,4.7,8,90.9090909090909
